0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,Y,1,1,1,1,1,1,0
0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
0,1,0,Z,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0
P1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,1,1,1,1,0,1,P,1,0,1,0,S,0,1,1,1,0,1,1,0,1,P,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0
0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,P,0,0,0,0,0
P2,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,Y,0,1,1,1,1,1,0
0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,1,0,1,S,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0
0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
P3,Z,1,1,0,1,0,1,1,Z,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,S,0
0,1,1,P,1,1,0,1,0,1,Y,1,1,1,0,1,1,1,1,1,1,1,0,1,0
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,1,1,1,0,1,Y,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,1,0,1,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,Z,0,1,1,1,0
0,S,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
P4,1,0,1,Y,1,1,1,0,S,0,1,Z,1,1,1,0,1,1,1,0,1,0,1,0
0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,E
0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,S,1,1,0,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
